name,phone,buy,sell
АКБ Трансстройбанк ДО Котельники,+7 495 786-37-73,103.90,102.20
АКБ Трансстройбанк ДО Борисово,+7 495 786-37-73,103.90,102.10
Сбербанк ДО №9038/806,+7 800 555-55-50,104.60,94.10
АКБ Трансстройбанк ДО Мини-офис Белорусская,+7 495 786-37-73 доб. 4751,103.90,102.30
АКБ Трансстройбанк ДО Курская,+7 495 786-37-73,103.90,102.30
КБ ЮНИСТРИМ ОО № 198,+7 925 006-85-40,103.50,100.80
АКБ Трансстройбанк ДО Войковская,+7 495 786-37-73,103.90,102.00
КБ ЮНИСТРИМ ОО № 130,+7 925 789-61-36,105.00,100.00
КБ ЮНИСТРИМ ОО № 135,+7 925 006-85-40,104.30,99.00
КБ ЮНИСТРИМ ОО № 167,+7 926 610-23-18,105.00,99.00
АКБ Трансстройбанк ДО Некрасовка,+7 495 786-37-73,103.90,102.20
АКБ Трансстройбанк ДО Ленинградское шоссе,+7 495 786-37-73,103.90,102.10
АКБ Трансстройбанк ДО Домодедово,+7 495 786-37-73,111.00,94.00
АКБ Трансстройбанк ДО Мини-офис Братиславская,+7 495 786-37-73,103.90,102.20
КБ ЮНИСТРИМ ДО № 247,+7 925 789-61-36,105.00,100.00
КБ ЮНИСТРИМ ОО № 191,+7 926 331-08-57,105.00,100.00
КБ ЮНИСТРИМ ОО № 169,+7 926 610-23-18,105.00,99.00
КБ ЮНИСТРИМ ОО № 27,+7 926 331-08-57,105.00,100.00
БАНК КРЕМЛЕВСКИЙ ДО На Неглинной,+7 968 593-43-77,104.00,93.00
АКБ Трансстройбанк ДО Жуковский,+7 495 786-37-74,109.00,96.00
Сбербанк ДО № 9038/01421,+7 800 555-55-50,105.30,96.90
КБ ЮНИСТРИМ ОО № 176,+7 926 331-08-57,105.00,100.00
Сбербанк ДО №9038/01761,+7 800 555-55-50,105.30,96.90
КБ ЮНИСТРИМ ОО № 179,+7 926 090-18-25,105.00,100.00
КБ ЮНИСТРИМ ДО № 243,+7 926 610-23-18,105.00,99.00
КБ ЮНИСТРИМ ОО № 204,+7 925 789-61-36,105.00,100.00
АКБ Трансстройбанк ДО Семеновский,+7 495 786-37-73,103.90,102.00
АК БАРС БАНК ДО Московский № 5,+7 800 200-53-03,102.90,101.50
КБ ЭНЕРГОТРАНСБАНК ДО Лефортово,+7 800 100-22-48,104.60,100.10
КБ ЮНИСТРИМ ОО № 199,+7 925 789-61-36,105.00,100.00
КБ ЮНИСТРИМ ОО № 104,+7 926 090-18-25,104.50,100.50
КБ ЮНИСТРИМ ОО № 93,+7 926 331-08-57,105.00,100.00
KБ НОВЫЙ ВЕК,+7 495 223-00-68,105.55,102.75
КБ ЮНИСТРИМ ОО № 52,+7 925 789-61-36,105.00,100.00
КБ ЭНЕРГОТРАНСБАНК ДО Алтуфьево,+7 800 100-22-48,102.70,100.10
КБ ЮНИСТРИМ ОО № 108 Томилино,+7 926 331-08-57,105.00,100.00
КБ ЮНИСТРИМ ОО № 194,+7 925 006-85-40,104.30,99.00
КБ ЮНИСТРИМ ОО № 210,+7 925 789-61-36,105.00,100.00
КБ ЮНИСТРИМ ОО № 211,+7 926 610-23-18,105.00,99.00
КБ ЮНИСТРИМ ОО № 58,+7 926 090-18-25,105.00,100.00
КБ ЮНИСТРИМ ДО № 232,+7 926 090-18-25,105.00,100.00
КБ ЮНИСТРИМ ОО № 189,+7 926 331-08-57,105.00,100.00
КБ ЮНИСТРИМ ОО № 180,+7 926 090-18-25,105.00,100.00
КБ ЮНИСТРИМ ОО № 239,+7 926 090-18-25,105.00,100.00
КБ ЮНИСТРИМ ОО № 184,+7 925 006-85-40,104.30,99.00
КБ ЮНИСТРИМ ОО № 190,+7 926 610-23-18,105.00,99.00
КБ ЮНИСТРИМ ОО № 74,+7 925 789-61-36,105.00,100.00
БАНК КРЕМЛЕВСКИЙ ДО Балчуг,+7 968 934-35-20,104.00,93.00
КБ ЮНИСТРИМ ОО № 202,+7 926 006-85-40,105.00,100.00
КБ ЮНИСТРИМ ОО № 69,+7 926 331-08-57,105.00,100.00
КБ ЮНИСТРИМ ОО № 186,+7 925 789-61-36,105.00,100.00
КБ ЮНИСТРИМ ОО № 23,+7 926 090-18-25,105.00,100.00
КБ ЮНИСТРИМ ОО № 119,+7 925 789-61-36,105.00,100.00
КБ ЮНИСТРИМ ОО № 78,+7 925 789-61-36,105.00,100.00
Газпромбанк ДО № 099/1089,+7 800 707-70-37,103.00,96.70
КБ ЭНЕРГОТРАНСБАНК ДО Теплый Стан,+7 800 100-22-48,102.70,100.10
Газпромбанк ДО 099/1038,+7 800 707-70-37,103.00,96.70
КБ ЮНИСТРИМ ДО № 235,+7 925 789-61-36,105.00,100.00
КБ ЮНИСТРИМ ОО № 91,+7 925 006-85-40,104.30,99.00
Газпромбанк ДО 099/1018,+7 800 707-70-37,103.00,96.70
Газпромбанк ДО 099/1058,+7 800 707-70-37,103.00,96.70
Газпромбанк ДО 099/1078,+7 800 707-70-37,103.00,96.70
КБ ЮНИСТРИМ ДО № 242,+7 926 331-08-57,105.00,100.00
КБ ЮНИСТРИМ ОО № 212,+7 926 610-23-18,105.00,99.00
БАНК КРЕМЛЕВСКИЙ ДО Лесной,+7 903 599-00-58,103.00,91.00
Газпромбанк ДО 099/1015,+7 800 707-70-37,103.00,96.70
Газпромбанк ДО 099/1049,+7 800 707-70-37,103.00,96.70
Газпромбанк ДО 099/1008,+7 800 707-70-37,103.00,96.70
Газпромбанк ДО 099/1080,+7 800 707-70-37,103.00,96.70
КБ ЭНЕРГОТРАНСБАНК ДО Белая Дача,+7 800 100-22-48,104.60,100.10
КБ ЮНИСТРИМ ОО № 98,+7 926 331-08-57,105.00,100.00
Газпромбанк ДО 099/1052,+7 800 707-70-37,103.00,96.70
КБ ЮНИСТРИМ ОО № 79,+7 926 610-23-18,105.00,99.00
Газпромбанк ДО 028/1001,+7 800 707-70-37,103.00,96.70
Газпромбанк ДО 099/1022,+7 800 707-70-37,103.00,96.70
Газпромбанк ДО 028/1002,+7 800 707-70-37,103.00,96.70
Газпромбанк ДО 099/1065,+7 800 707-70-37,103.00,96.70
Газпромбанк ДО 099/1054,+7 800 707-70-37,103.00,96.70
КБ ЮНИСТРИМ ОО № 237,+7 926 090-18-25,105.00,100.00
Газпромбанк ДО 099/1048,+7 800 707-70-37,103.00,96.70
КБ ЮНИСТРИМ ОО № 139,+7 926 331-08-57,105.00,100.00
Газпромбанк ДО 099/1043,+7 495 139-08-48,103.00,96.70
КБ ЮНИСТРИМ ОО № 60,+7 926 331-08-57,105.00,100.00
КБ ЮНИСТРИМ ОО № 183,+7 926 237-14-26,110.50,96.00
Газпромбанк AO ДО 028/1028,+7 800 707-70-37,103.00,96.70
КБ ЮНИСТРИМ ОО № 44,+7 925 789-61-36,105.00,100.00
КБ ЮНИСТРИМ ОО № 207,+7 925 006-85-40,104.30,99.00
КБ ИС Банк ДО Горбушка,+7 495 114-55-19,106.00,101.30
КБ ЮНИСТРИМ ОО № 217,+7 926 610-23-18,105.00,99.00
КБ ЮНИСТРИМ ДО № 229,+7 925 006-85-40,103.00,101.00
КБ ЮНИСТРИМ ДО № 245,+7 925 789-61-36,105.00,100.00
КБ ЮНИСТРИМ ОО № 216,+7 926 610-23-18,105.00,99.00
КБ ЮНИСТРИМ ОО № 208,+7 926 610-23-18,105.00,99.00
КБ ЮНИСТРИМ ОО № 193,+7 925 789-61-36,105.00,100.00
АКБ Трансстройбанк ДО Электрозаводская,+7 495 786-37-73,103.90,102.00
АКБ Трансстройбанк ДО Внуково,+7 495 786-37-73,111.00,94.00
КБ ЮНИСТРИМ ДО № 227,+7 925 006-85-40,105.00,100.00
КБ ЮНИСТРИМ ОО № 240,+7 926 331-08-57,105.00,100.00
КБ ЮНИСТРИМ ОО № 195,+7 926 090-18-25,105.00,100.00
АКБ Трансстройбанк ДО Братиславская,+7 495 786-37-73,103.90,102.00
Сбербанк ДО №9038/01714,+7 800 555-55-50,104.60,94.10
АКБ Трансстройбанк ДО Мини-офис Жулебино,+7 495 786-37-73,103.90,102.10
АКБ АВАНГАРД ДО Монетчиковский,+7 495 730-02-37,102.50,101.00
Сбербанк ДО №9038/1098,+7 880 055-55-55,105.30,96.90
Сбербанк ДО № 9038/01301,+7 800 555-55-50,105.30,96.90
АКБ Трансстройбанк ДО Профсоюзная,+7 495 786-37-73,103.90,102.10
АКБ Трансстройбанк ДО Алексеевская,+7 495 786-37-73,103.90,102.10
Сбербанк ДО №9038/01304,+7 800 555-55-50,104.60,94.10
Сбербанк ДО №9038/1417,+7 800 555-55-50,104.60,96.90
АКБ Трансстройбанк ДО Тушинская,+7 495 786-37-73,103.90,102.00
АКБ Трансстройбанк ДО Сокол,+7 495 786-37-73,103.90,102.20
АКБ Трансстройбанк ДО Теплый Стан,+7 495 786-37-74,103.90,102.20
Сбербанк ДО № 9038/01631,+7 800 555-55-50,104.60,94.10
КБ ЮНИСТРИМ ОО № 72,+7 926 090-18-25,105.00,100.00
АКБ Трансстройбанк ДО Павелецкая,+7 495 786-37-73,103.90,102.30
АКБ Трансстройбанк ДО Мини-офис Тверская-2,+7 495 786-37-73,103.90,102.30
Сбербанк ДО № 9038/01199,+7 800 555-55-50,104.60,96.90
Сбербанк ДО №9038/1763,+7 800 555-55-50,104.60,94.10
АКБ Трансстройбанк ДО Мини-офис Бауманская,+7 495 786-37-73,103.90,102.20
АКБ Трансстройбанк ДО Жулебино,+7 495 786-37-73,103.90,102.00
КБ ЮНИСТРИМ ОО № 145 Люберцы,+7 926 331-08-57,105.00,100.00
КБ ЮНИСТРИМ ОО № 219,+7 926 331-08-57,105.00,100.00
КБ ЮНИСТРИМ ОО № 121,+7 925 006-85-40,104.30,99.00
КБ ЮНИСТРИМ ОО № 99,+7 925 789-61-36,105.00,100.00
АКБ Трансстройбанк ДО Мини-офис Октябрьское поле,+7 495 786-37-73,103.90,102.00
